Product Details,ASIN,Brand,Price,Link,BSR,Ram,Memory,Category
"($) 2021 Newest HP 14"" HD Laptop for Business and Student, Intel Celeron N4020(up to 2.8GHz), 4GB RAM, 64GB eMMC, 1 Year Office 365, USB-A&C, WiFi, Webcam, HDMI, Win10 S, w/Ghost Manta 64GB SD Card",B08VJ1FCXK,HP,$389.00 ,https://www.amazon.com/Newest-HP-Business-Student-Celeron/dp/B08VJ1FCXK/ref=sr_1_1?dchild=1&keywords=B08VJ1FCXK&qid=1623478174&s=electronics&sr=1-1,988,4,64,Laptop
"($) 2021 HP 14 inch HD Laptop Newest for Business and Student, AMD Athlon Silver 3050U (Beat i5-7200U), 16GB DDR4 RAM, 512GB SSD, 802.11ac, WiFi, Bluetooth, HDMI, Windows 10 w/HESVAP 3in1 Accessories",B087WR7LXQ,HP,$599.00 ,https://www.amazon.com/HP-Business-i5-7200U-Bluetooth-Accessories/dp/B087WR7LXQ/ref=sr_1_1?dchild=1&keywords=B087WR7LXQ&qid=1623478329&s=electronics&sr=1-1,"1,168",16,512,Laptop
"HP Chromebook 14 - 14"" HD Non-Touch Intel Pentium Silver N5000, Intel UHD Graphics 605, 4GB RAM, 64GB eMMC, WiFi, Bluetooth, Audio by B&O, Chrome OS (Renewed)",B08CSHPBL8,Amazon Renewed,$198.99 ,https://www.amazon.com/HP-Chromebook-14-Non-Touch-Bluetooth/dp/B08CSHPBL8/ref=sr_1_1?dchild=1&keywords=B08CSHPBL8&qid=1623478385&s=electronics&sr=1-1,158,4,64,Laptop
"2020 Flagship HP 14 Chromebook Laptop Computer 14"" HD SVA Anti-Glare Display Intel Celeron Processor 4GB DDR4 64GB eMMC Backlit WiFi Webcam Chrome OS (Renewed)",B08PDTLK1Q,Amazon Renewed,$199.45 ,https://www.amazon.com/Flagship-HP-Chromebook-Anti-Glare-Processor/dp/B08PDTLK1Q/ref=sr_1_1?dchild=1&keywords=B08PDTLK1Q&qid=1623478445&s=electronics&sr=1-1,62,4,64,Laptop
"2021 Newest Dell Inspiron 3000 Laptop, 15.6 HD LED-Backlit Display, Intel Celeron Processor N4020, 16GB DDR4 RAM, 1TB Hard Disk Drive, Online Meeting Ready, Webcam, WiFi, HDMI, Win10 Home, Black",B08X1KKFKP,Dell,$549.00 ,https://www.amazon.com/Dell-Inspiron-LED-Backlit-Display-Processor/dp/B08X1KKFKP/ref=sr_1_1?dchild=1&keywords=B08X1KKFKP&qid=1623478483&s=electronics&sr=1-1,439,16,1 tb,Laptop
"HP 14 Laptop, AMD Ryzen 5 5500U, 8 GB RAM, 256 GB SSD Storage, 14-inch Full HD Display, Windows 10 Home, Thin & Portable, Micro-Edge & Anti-Glare Screen, Long Battery Life (14-fq1021nr, 2021)",B091D9652Z,HP,$529.99 ,https://www.amazon.com/HP-Portable-Micro-Edge-Anti-Glare-14-fq1021nr/dp/B091D9652Z/ref=sr_1_1?dchild=1&keywords=B091D9652Z&qid=1623478524&s=electronics&sr=1-1,"1,030",8,256,Laptop
"($) Lenovo Chromebook S330 Laptop, 14-Inch FHD (1920 x 1080) Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64GB eMMC, Chrome OS, 81JW0000US, Business Black",B07GLV1VC7,Lenovo,$279.99 ,https://www.amazon.com/Lenovo-Chromebook-MediaTek-Processor-81JW0000US/dp/B07GLV1VC7/ref=sr_1_1?dchild=1&keywords=B07GLV1VC7&qid=1623478578&s=electronics&sr=1-1,433,4,64,Laptop
"HP Stream 14-inch Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for 1 Year (14-cb186nr, Brilliant Black) (9MV74UA#ABA)",B084SMMH96,HP,$272.00 ,https://www.amazon.com/HP-14-cb186nr-Brilliant-9MV74UA-ABA/dp/B084SMMH96/ref=sr_1_1?dchild=1&keywords=B084SMMH96&qid=1623478605&s=electronics&sr=1-1,291,4,64,Laptop
"Acer Aspire 5 A515-55-56VK, 15.6"" Full HD IPS Display, 10th Gen Intel Core i5-1035G1, 8GB DDR4, 256GB NVMe SSD, Intel Wireless WiFi 6 AX201, Fingerprint Reader, Backlit Keyboard, Windows 10 Home",B087RTV311,Acer,$549.99 ,https://www.amazon.com/Acer-A515-55-56VK-i5-1035G1-Fingerprint-Keyboard/dp/B087RTV311/ref=sr_1_1?dchild=1&keywords=B087RTV311&qid=1623478632&s=electronics&sr=1-1,81,8,256,Laptop
"2021 HP 15.6"" FHD Touchscreen Laptop Computer, 10th Gen Intel Core i7-1065G7, 16GB RAM, 512GB SSD, HD Audio, HD Webcam, Intel Iris Plus Graphics, Bluetooth, Windows 10, Silver, 32GB SnowBell USB Card",B08F75WXC8,HP,$879.00 ,https://www.amazon.com/HP-Touchscreen-Computer-i7-1065G7-Bluetooth/dp/B08F75WXC8/ref=sr_1_1?dchild=1&keywords=B08F75WXC8&qid=1623478657&s=electronics&sr=1-1,"2,362",16,512,Laptop
"Acer Aspire 5 A515-46-R14K Slim Laptop | 15.6"" Full HD IPS | AMD Ryzen 3 3350U Quad-Core Mobile Processor | 4GB DDR4 | 128GB NVMe SSD | WiFi 6 | Backlit KB | Amazon Alexa | Windows 10 Home (S Mode)",B08VKNVDDR,Acer,$379.99 ,https://www.amazon.com/Acer-A515-46-R14K-Quad-Core-Processor-Backlit/dp/B08VKNVDDR/ref=sr_1_1?dchild=1&keywords=B08VKNVDDR&qid=1623478687&s=electronics&sr=1-1,263,4,128,Laptop
"($) 2021 HP 11.6"" HD Laptop for Student and Home use, Intel Celeron N4000, 4GB RAM, 96GB Storage(32GB eMMC+64GB SD Card), 1 Year Office 365, WiFi,HDMI,Google Classroom or Zoom Compatible,w/GM Accessories",B08QM9JMTJ,HP,$299.00 ,https://www.amazon.com/HP-Student-Classroom-Compatible-Accessories/dp/B08QM9JMTJ/ref=sr_1_1?dchild=1&keywords=B08QM9JMTJ&qid=1623478715&s=electronics&sr=1-1,"2,444",4,96,Laptop
"Dell Inspiron 15 3505 Full HD Laptop (FHD), 15.6 inch - AMD Ryzen 5 3450U, 12GB DDR4 RAM, 512GB SSD, AMD Radeon Vega 8 Graphics, Windows Laptop (10) - Black (Latest Model)",B08TBFR4ZB,Dell,$699.88 ,https://www.amazon.com/Dell-Inspiron-3505-Full-Laptop/dp/B08TBFR4ZB/ref=sr_1_1?dchild=1&keywords=B08TBFR4ZB&qid=1623478776&s=electronics&sr=1-1,"1,257",12,512,Laptop
"Lenovo Flex 5 14"" 2-in-1 Laptop, 14.0"" FHD (1920 x 1080) Touch Display, AMD Ryzen 5 4500U Processor, 16GB DDR4, 256GB SSD, AMD Radeon Graphics, Digital Pen Included, Win 10, 81X20005US, Graphite Grey",B086226DDB,Lenovo,$629.99 ,https://www.amazon.com/Lenovo-Processor-Graphics-Included-81X20005US/dp/B086226DDB/ref=sr_1_1?dchild=1&keywords=B086226DDB&qid=1623478813&s=electronics&sr=1-1,50,16,256,Laptop
"2021 HP Stream 14"" HD Laptop Light-Weight, Intel N4020 (Up tp 2.8GHz), 4GB RAM, 64GB eMMC, 1 Year Office 365, Webcam, HDMI, Google Classroom or Zoom Compatible, w/64GB SD Card+Ghost Manta Accessories",B08L3JLFGY,HP,$349.00 ,https://www.amazon.com/HP-Light-Weight-Classroom-Compatible-Accessories/dp/B08L3JLFGY/ref=sr_1_1?dchild=1&keywords=B08L3JLFGY&qid=1623478884&s=electronics&sr=1-1,577,4,64,Laptop
"($) Dell Inspiron 14 HD High Performance Laptop (2021 Latest Model), Intel Core i3-1005G1 Processor, 8GB RAM, 256GB SSD, Webcam, HDMI, Bluetooth, WiFi, USB 3.1, Wave MaxxAudio Pro, Windows 10 S, Black",B09254SJF5,Dell,$449.00 ,https://www.amazon.com/Dell-Performance-i3-1005G1-Processor-Bluetooth/dp/B09254SJF5/ref=sr_1_1?dchild=1&keywords=B09254SJF5&qid=1623478920&s=electronics&sr=1-1,"4,654",8,256,Laptop
